[2016-08-13 14:52:44] infoLogger.INFO: skrypt rozpoczął działanie [] []
[2016-08-13 14:52:44] infoLogger.INFO: 0. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: 1. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: 2. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: 3. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: 4. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: 5. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: 6. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: 7. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: 8. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: 9. obrót pętli [] []
[2016-08-13 14:52:44] infoLogger.INFO: skrypt zakończył działanie [] []
